region,state,district,year,rainfall_mm,groundwater_level_m,water_extraction_mcm,water_recharge_mcm,population,water_demand_mld,water_supply_mld,scarcity_index
South,Tamil Nadu,District_78,2015,814.97,31.59,94.01,93.1,2116552,167.01,173.61,-0.0393
South,Andhra Pradesh,District_17,2009,1228.33,23.08,138.83,131.92,3483514,653.81,637.94,0.0242
North,Uttar Pradesh,District_117,2001,782.1,13.16,317.83,282.39,2740425,403.26,386.13,0.0424
West,Rajasthan,District_73,2018,867.34,7.35,176.98,138.12,1250221,238.7,216.06,0.0945
East,West Bengal,District_14,2015,1171.05,25.39,110.65,134.43,1677132,351.95,322.97,0.0821
South,Andhra Pradesh,District_2,2013,760.63,11.65,244.81,214.08,1996896,203.89,169.78,0.1665
South,Telangana,District_1,2001,1018.42,3.53,217.45,182.97,3159586,484.38,487.1,-0.0056
West,Gujarat,District_36,2011,1320.17,3.3,93.79,65.32,286881,33.02,3.25,0.875
South,Andhra Pradesh,District_129,2021,421.97,40.73,182.81,148.65,342406,18.44,-23.82,2.1741
Central,Chhattisgarh,District_40,2002,1667.98,23.73,280.65,254.16,2761096,418.31,377.07,0.0984
West,Gujarat,District_37,2023,958.84,33.57,131.61,95.32,3310963,180.57,163.71,0.0928
West,Rajasthan,District_111,2018,1062.95,43.67,303.27,303.45,516071,75.08,83.77,-0.1143
East,Bihar,District_75,2007,745.41,20.03,135.56,135.93,2473824,370.57,348.4,0.0597
West,Maharashtra,District_122,2011,945.71,46.07,287.85,300.28,3025579,571.99,529.65,0.0739
South,Karnataka,District_99,2013,1433.23,19.64,183.42,174.86,3138387,300.03,299.63,0.0014
South,Kerala,District_26,2008,1596.62,48.5,118.49,102.12,1015449,51.09,79.41,-0.5436
South,Andhra Pradesh,District_80,2005,1278.2,17.86,253.64,230.41,2042519,118.28,104.99,0.1114
North,Uttarakhand,District_112,2021,609.77,5,111.02,114.98,1552547,247.13,265.56,-0.0743
East,Odisha,District_149,2004,1312.69,23.28,108.08,113.03,2014318,286.45,264.98,0.0747
West,Rajasthan,District_65,2004,899.41,4.88,220.92,216.43,138927,29.67,-2.52,1.0496
East,Jharkhand,District_142,2006,960.21,10.56,301.8,269.63,2440619,456.16,469.68,-0.0296
South,Andhra Pradesh,District_79,2002,501.29,36.99,163.03,139.68,2198800,358.49,342.73,0.0438
South,Andhra Pradesh,District_146,2020,1107.24,40.45,137.38,99.43,172471,17.86,-8.91,1.4191
East,Assam,District_140,2005,1200.45,39.44,64.18,82.67,906450,152.87,176.83,-0.1558
South,Kerala,District_112,2003,825.19,28.77,161.56,140.09,2414092,316.34,299.79,0.0522
Central,Madhya Pradesh,District_135,2014,913.66,44.89,115.76,138.8,1126509,196.89,222.62,-0.13
East,Odisha,District_129,2021,1243.99,38.06,213.23,202.01,1024484,80.13,62.96,0.2116
South,Telangana,District_120,2011,381.23,13.72,203.28,194.68,1873116,269.64,266.14,0.0129
East,Jharkhand,District_120,2013,1180.57,5.07,316.86,322.01,2889033,139.67,101.1,0.2742
East,Jharkhand,District_119,2000,836.88,6.74,140.99,162.25,1637958,312.49,296.35,0.0515
Central,Chhattisgarh,District_7,2013,1028.61,40.43,278.56,240.75,2201388,250.25,263.61,-0.0532
East,Bihar,District_36,2019,805.66,32.35,183.91,193.9,1267952,186.28,147.31,0.2081
South,Andhra Pradesh,District_63,2018,1284.74,33.14,254.43,232.82,2253460,148.38,104.99,0.2905
North,Haryana,District_96,2004,617.9,4.17,195.64,191.64,2780788,415.84,433.86,-0.0432
North,Himachal Pradesh,District_140,2018,1023.82,12.42,182.61,166.8,92670,19.88,-3.96,1.1419
South,Andhra Pradesh,District_14,2012,446.72,8.87,66.72,30.71,537746,109.3,111.17,-0.0169
Central,Madhya Pradesh,District_104,2021,765.61,18.51,268.47,281.38,2080708,170.93,157.61,0.0775
North,Uttar Pradesh,District_119,2016,383.87,19.33,252.29,237.13,657346,39.98,59.59,-0.4786
East,Assam,District_14,2002,989.13,38.82,96.79,57.19,2618885,305.56,335.44,-0.0975
West,Maharashtra,District_70,2020,497.36,37.27,314.91,318.08,934666,70.93,38.87,0.4457
East,West Bengal,District_86,2019,809.16,45.95,173.62,184.82,1175393,247.87,237.7,0.0409
East,West Bengal,District_75,2018,1460.44,29.83,238.36,197.07,2958471,496.56,477.71,0.0379
North,Punjab,District_85,2001,317.98,19.52,142.21,165.35,2706059,366.3,377.39,-0.0302
East,West Bengal,District_150,2021,562.55,49.18,245.88,208.33,3187345,602.16,558.3,0.0727
North,Haryana,District_14,2022,981.05,30.73,97.56,69.77,2581174,454.54,471.94,-0.0382
West,Rajasthan,District_133,2004,1161.21,44.57,230.81,206.47,1351808,228.63,192.88,0.1557
Central,Chhattisgarh,District_127,2004,1022.94,2.66,324.45,332.46,1211714,80.69,89.31,-0.1055
South,Karnataka,District_40,2009,1046.5,44.29,216.74,221.04,3416148,553.94,542.77,0.0201
South,Andhra Pradesh,District_2,2015,1141.82,11.8,261.26,291.01,2600190,291.72,298.99,-0.0248
North,Himachal Pradesh,District_52,2003,529.39,26.75,247.14,199.92,258447,15.47,-25.26,2.473
East,Bihar,District_1,2004,1201.62,17.9,193.52,220.34,1456083,179.22,188.83,-0.0533
North,Himachal Pradesh,District_31,2016,1079.73,15.16,77.94,58.84,3467209,302.87,269.98,0.1082
East,West Bengal,District_64,2006,940.97,29.43,183.25,194,1446724,300.95,326.88,-0.0859
East,West Bengal,District_122,2000,510.85,9.33,181.68,162.57,1680916,271.56,263.57,0.0293
North,Haryana,District_114,2012,1174.07,18.4,113.76,129.49,1590882,227.3,215.35,0.0523
West,Maharashtra,District_32,2009,1267.89,16.74,88.26,46.52,1311592,210.88,223.35,-0.0589
South,Kerala,District_124,2005,1139.24,40.08,167.8,134.6,1669879,108.24,131.64,-0.2142
South,Karnataka,District_140,2008,631.93,36.58,264.15,238.14,3080350,433.17,417.12,0.037
North,Himachal Pradesh,District_113,2021,956.79,33.08,280.25,240.92,847050,150.37,132.9,0.1154
North,Himachal Pradesh,District_32,2013,1057.07,41.21,68.32,92.07,1560504,114.37,75.9,0.3335
Central,Madhya Pradesh,District_6,2005,956.99,17.53,221.04,232.24,201901,36.3,5.13,0.8356
Central,Madhya Pradesh,District_62,2005,625.05,49.9,179.54,207.99,1539210,168.89,198.37,-0.1735
North,Haryana,District_140,2006,1237.16,28.5,236.24,263.8,616213,114.84,135.18,-0.1756
North,Punjab,District_123,2009,903.29,46.44,118.3,141.79,2827770,139.75,96.87,0.3046
South,Andhra Pradesh,District_26,2018,1112.81,34.63,312.84,281.96,229302,35.38,51.09,-0.4317
North,Punjab,District_95,2021,355.58,29.74,214.76,228.1,2528856,502.36,521.09,-0.0372
West,Gujarat,District_101,2012,897.99,17.79,174.17,168.04,1931187,225.85,201.35,0.108
East,West Bengal,District_119,2013,710.74,12.16,195.94,173.66,1887825,202.27,197.37,0.0241
East,Jharkhand,District_38,2000,1128.21,21.95,214.27,166.26,2063589,241,197.92,0.178
South,Andhra Pradesh,District_118,2003,1017.01,7.17,119.97,122.67,257462,50.04,19.51,0.5982
North,Uttarakhand,District_100,2000,708.07,29.6,138.4,154.56,782442,35.53,42.24,-0.1837
North,Uttarakhand,District_78,2001,1273.13,40.69,192.43,210.44,344931,42.98,48.63,-0.1283
North,Himachal Pradesh,District_114,2001,791.86,33.93,272.8,265.26,2016562,356.79,337.21,0.0547
South,Telangana,District_36,2014,634.94,25.85,60.63,41.55,2113958,315.4,309.97,0.0172
East,Assam,District_71,2000,962.66,34.28,210.83,234.04,1730844,173.29,192.62,-0.1109
South,Tamil Nadu,District_92,2016,1007.47,15.53,320.75,337.99,528229,98.91,67.97,0.3097
North,Haryana,District_54,2011,824.49,17.26,341.42,301.28,152733,14.73,5.06,0.6147
North,Haryana,District_100,2016,492.49,15.37,299.11,263.58,3054215,597.14,584.43,0.0213
East,Bihar,District_45,2020,908.51,31.14,280.03,275.99,1472290,65.95,32.99,0.4923
Central,Madhya Pradesh,District_91,2020,1211.19,10.5,255.42,256.83,2745599,125.69,99.94,0.2033
North,Uttarakhand,District_87,2014,741.57,35.56,304.45,332.86,879733,112.81,137.1,-0.2134
Central,Madhya Pradesh,District_72,2021,798.27,41.72,137.13,95.99,517551,40.65,64.26,-0.5668
South,Andhra Pradesh,District_101,2002,1022.09,41.66,120.42,119.39,922495,87.7,59.51,0.3179
North,Punjab,District_97,2015,1162.92,33.32,347.02,360.7,3099002,670.61,689.1,-0.0275
North,Himachal Pradesh,District_47,2018,911.59,32.87,314.58,311.81,3123826,199.29,205.49,-0.0309
North,Haryana,District_135,2008,1121.33,20.3,170.39,171.81,727622,89.26,48.2,0.4549
Central,Madhya Pradesh,District_83,2018,982.64,30.29,141.41,142.06,1265313,223.91,202.38,0.0957
North,Uttarakhand,District_90,2018,1064.59,21.96,143.33,130.11,2926577,409.43,379.29,0.0734
North,Himachal Pradesh,District_104,2002,770.24,8.24,81.97,63.6,2654174,277.68,246.99,0.1101
West,Maharashtra,District_8,2023,529.76,7.76,193.76,213.97,1914771,117.9,112.55,0.045
South,Tamil Nadu,District_60,2003,1226.17,8.93,243.71,241.32,3099460,571.1,576.16,-0.0088
East,West Bengal,District_128,2021,1288.93,9.06,313.3,326.33,378191,28.06,33.06,-0.1722
North,Punjab,District_83,2007,304.63,43.77,321.21,325.13,1006370,93.25,71.58,0.2299
South,Karnataka,District_27,2005,1014.09,2.02,77.31,72.7,772385,89.38,104.6,-0.1685
South,Kerala,District_108,2002,1266.49,22.35,132.37,128.17,3043488,286.07,311.86,-0.0898
West,Maharashtra,District_65,2003,685.77,24.8,120.59,143.29,371470,59.42,30.1,0.4853
West,Maharashtra,District_19,2014,903.14,4.26,141.39,141.95,2034590,296.52,254.74,0.1404
South,Telangana,District_8,2005,160.63,29.55,106.04,94.63,1200997,84.99,100.93,-0.1854
East,Odisha,District_28,2022,1379.72,15.09,299.09,257.69,2989145,451.21,457.5,-0.0139
East,Assam,District_97,2004,906.25,4.19,243.35,243.47,1696641,351.41,346.58,0.0137
North,Uttarakhand,District_143,2006,894.21,40.18,247.65,200.35,2158404,358.84,323.68,0.0977
West,Rajasthan,District_65,2015,759.62,6.84,129.24,157.32,3049380,138.23,108.18,0.2158
East,Assam,District_74,2007,882.06,39.82,203.53,199.2,965364,137.32,157.96,-0.1492
West,Rajasthan,District_42,2013,366.91,38.7,134.74,110.81,3088973,504.3,508.93,-0.0092
North,Haryana,District_50,2002,659.9,23.25,134.7,89.75,1647408,259.66,247.88,0.0452
North,Uttarakhand,District_7,2020,926.5,5.1,240.31,205.2,1135210,190.08,204.4,-0.0749
East,West Bengal,District_53,2001,686.14,10.84,70.58,32,796581,69.34,72.25,-0.0414
Central,Madhya Pradesh,District_2,2011,753.63,25.65,164.17,149.95,1597459,124.56,88.38,0.2881
East,Jharkhand,District_146,2017,991.29,2.73,77.14,67.07,1172291,182.4,210.29,-0.152
East,Bihar,District_88,2005,932.81,19.76,214.46,242.81,416549,65.72,38.78,0.4038
North,Haryana,District_128,2006,444.44,13.96,226.14,185.6,262298,45.69,42.78,0.0623
West,Rajasthan,District_147,2015,1253.54,22.58,125.34,114.79,3305338,345.92,361.61,-0.0452
North,Haryana,District_91,2011,1178.95,37.44,157.05,114.5,2651620,232.89,199.67,0.142
North,Himachal Pradesh,District_144,2004,797.04,21.52,276.38,290.27,1873222,277.52,258.95,0.0667
East,Bihar,District_113,2013,1203.23,11.94,240.47,224.06,1306293,209.26,238.67,-0.1398
South,Kerala,District_19,2018,1122.35,41.99,209.72,164.21,2700247,385.47,411,-0.0661
East,Bihar,District_33,2016,653.53,37.74,320.67,329.86,1010437,48.12,49.13,-0.0205
South,Andhra Pradesh,District_26,2003,855.5,16.06,126.3,104.72,1497366,82.09,44.39,0.4537
North,Punjab,District_60,2001,1513.49,24.52,275.38,225.39,2495007,206.97,213.7,-0.0324
North,Himachal Pradesh,District_139,2010,1310.26,17.17,293.74,315.82,2467391,447.04,473.06,-0.0581
North,Uttar Pradesh,District_58,2009,1095.78,27.04,323.94,316.1,1528058,330.37,320.5,0.0298
West,Gujarat,District_100,2022,1061.72,26.72,142.8,93.03,3415216,312.63,301.13,0.0367
South,Telangana,District_18,2005,1439.35,42.1,266.25,275.38,2217518,203.06,171.95,0.1525
South,Andhra Pradesh,District_20,2017,1198.98,2.16,156.74,133.98,3004201,213.23,191.4,0.1019
North,Uttarakhand,District_62,2016,581.73,35.07,101.28,99.41,222111,36.47,7.79,0.7653
North,Himachal Pradesh,District_129,2009,957.36,10.08,295.48,324.9,3286334,682.35,663.26,0.0279
South,Kerala,District_15,2017,956.22,17.29,171.11,165.9,214257,24.97,22.42,0.0982
East,West Bengal,District_150,2015,634.53,28.54,286.93,279.16,1572552,67.12,65.24,0.0276
West,Gujarat,District_8,2001,455.66,14.45,256.72,238.58,679367,125.48,102.73,0.1798
East,Odisha,District_108,2008,1081.35,13.11,173.17,147.54,3198629,397.55,414.87,-0.0435
West,Rajasthan,District_86,2001,868.89,9.24,243.72,219.79,1109390,146.78,124.93,0.1479
Central,Madhya Pradesh,District_53,2017,811.76,17.22,248.1,241.33,548235,102.71,69.82,0.3171
East,Odisha,District_16,2007,638.59,36.57,131.5,144.33,1101422,230.84,253.78,-0.099
North,Punjab,District_19,2018,1132.59,25.38,103.96,58.06,3187983,474.37,472.21,0.0045
North,Himachal Pradesh,District_10,2011,1034.17,29.82,152.73,166.89,3039919,179.53,173.19,0.0351
East,Bihar,District_107,2019,1102.48,42.81,271.76,244.12,107981,18.09,13.17,0.2575
North,Himachal Pradesh,District_21,2017,827.31,8.37,93.2,121.36,2711099,416.44,386.93,0.0707
North,Punjab,District_34,2008,585.94,2.7,315.31,268.98,1439413,252.88,244.43,0.0333
West,Maharashtra,District_27,2001,1110.56,30.65,228.02,205.29,2310312,125,131.73,-0.0534
North,Punjab,District_130,2007,772.2,34.33,207.1,166.59,1026237,214.36,183.36,0.144
South,Telangana,District_111,2015,562.98,16.61,246.59,241.99,2983299,561.48,533.76,0.0493
South,Andhra Pradesh,District_59,2000,1271.45,33.81,320.08,329.95,1985222,399.35,402.39,-0.0076
West,Maharashtra,District_7,2006,640.4,12.3,217.94,236.15,276887,50.11,60.09,-0.1952
Central,Chhattisgarh,District_98,2021,527.57,2.74,178.06,167.44,1680222,315.87,288.22,0.0873
North,Uttar Pradesh,District_142,2015,1132.61,6.82,256.76,265.5,3087687,262.79,222.21,0.1538
West,Maharashtra,District_100,2012,1051.84,26.54,97.4,105.03,1154509,71.59,94.24,-0.3119
Central,Madhya Pradesh,District_111,2022,1449.92,24.61,252.08,205.54,3482443,648.53,656.3,-0.012
East,Jharkhand,District_141,2004,1211.32,18.63,165.85,117.51,1749938,103.59,123,-0.1856
East,West Bengal,District_113,2003,793.49,16.66,172.29,124.97,1759270,273.95,258.02,0.0579
North,Himachal Pradesh,District_95,2011,1099.87,9.67,192.36,221.75,1253015,79.3,98.47,-0.2388
West,Rajasthan,District_88,2013,737.25,14.5,119.28,120.82,649889,114.4,109.17,0.0454
West,Maharashtra,District_61,2007,1018.59,36.44,190.73,152.62,3345445,585.01,575.95,0.0154
East,Bihar,District_3,2007,1544.8,35.75,160.54,164.11,818811,91.34,70.74,0.2231
East,Jharkhand,District_138,2018,950.76,20.17,117.99,78.24,1219244,64.82,51.9,0.1962
West,Maharashtra,District_4,2023,368.41,22.21,292.04,299.58,1346639,67.39,38.22,0.4266
South,Karnataka,District_15,2002,1245.71,41.83,176.34,155.22,3432348,311.92,330.36,-0.0589
West,Maharashtra,District_33,2014,1126.81,10.89,323.56,320.67,1533282,174.12,148.53,0.1461
South,Tamil Nadu,District_73,2001,479.49,6.83,295.75,245.99,752445,158.24,159.07,-0.0052
East,Odisha,District_90,2019,623.33,4.25,206.02,230.75,475741,30.43,47.27,-0.5362
South,Karnataka,District_75,2004,1434.83,40.37,198.67,217.06,1210629,227.49,236.17,-0.038
North,Himachal Pradesh,District_102,2015,943.62,48.45,326.95,328.18,2302639,318.93,344.25,-0.0791
East,West Bengal,District_20,2002,418.42,21.38,250.82,250.03,2454389,186.01,177.98,0.0429
West,Gujarat,District_140,2006,927.84,7.93,133.02,117.99,786581,71.78,53.52,0.251
North,Punjab,District_92,2007,1240.71,40.99,150.59,128.79,2632736,445.96,407.41,0.0863
East,Assam,District_78,2011,1287.05,36.63,135.55,118.93,1639536,199.06,171.02,0.1402
Central,Chhattisgarh,District_75,2020,1216.66,6.06,289.03,310.54,1852302,208.08,175.23,0.1571
South,Karnataka,District_135,2008,1161.9,26.47,251.51,201.69,2082885,185.96,178.88,0.0379
East,Odisha,District_139,2016,888.46,45.83,265.47,241.27,2125216,416.27,440.66,-0.0584
East,West Bengal,District_14,2011,980.12,26.88,108.88,128.54,2223574,315.67,344.21,-0.0901
East,Jharkhand,District_125,2008,612.76,13.32,293.02,303.62,3442425,167.22,155.98,0.0668
East,Bihar,District_53,2004,653.13,34.37,247.54,269.43,2658187,206.61,186.52,0.0968
North,Haryana,District_60,2009,794.95,28.33,293.11,308.96,862885,130.21,96.19,0.2593
Central,Chhattisgarh,District_54,2003,835.69,10.32,297.18,310.08,1044658,101.55,69.37,0.3138
South,Telangana,District_37,2001,1131.86,2.15,246.94,223.8,2035014,444.67,457.6,-0.029
South,Karnataka,District_113,2020,880.59,34.39,259.36,219.4,2152807,154.6,149.11,0.0353
East,Assam,District_30,2000,1094.47,22.95,209.98,175.35,1348814,144.77,137.42,0.0504
North,Punjab,District_9,2008,1029.36,17.88,280.65,268.14,1575663,244.65,220.37,0.0988
West,Gujarat,District_99,2009,932.66,12.84,204.14,197.49,1966112,298.28,265.2,0.1105
East,Bihar,District_16,2008,822.16,45.64,147.79,117.47,1630789,344.24,352.35,-0.0235
North,Himachal Pradesh,District_99,2015,1382.69,28.64,292.45,281.34,797360,153.01,113.93,0.2537
North,Uttar Pradesh,District_98,2012,1126.79,42.33,322.02,276.47,1070478,62.99,21.75,0.6444
East,Assam,District_12,2007,302.96,10.76,180.16,192.95,1641070,87.72,99.49,-0.1327
West,Rajasthan,District_98,2005,876.9,9.67,268.31,232.03,2425688,393.43,402.43,-0.0228
East,Jharkhand,District_137,2001,956.13,13.62,65.21,67.48,1750579,329.11,309.33,0.0599
South,Andhra Pradesh,District_9,2017,431.55,21.65,182.91,159.63,1415077,153.98,165.89,-0.0769
South,Telangana,District_7,2019,725.09,12.44,147.69,108.55,2082285,200.08,188.11,0.0596
East,Odisha,District_68,2018,815.81,45.33,91.7,89.79,1331277,66.98,90.37,-0.3439
West,Rajasthan,District_8,2010,797.3,14.63,166.45,164.99,3015288,652.53,672.06,-0.0299
North,Himachal Pradesh,District_112,2013,716.27,45.9,178.27,172.59,2508310,245.23,245.17,0.0003
West,Maharashtra,District_28,2017,1365.22,2.84,186.9,189.99,568187,24.29,8.03,0.6431
South,Kerala,District_74,2017,771.35,35.87,98.17,92.67,1429044,94.6,97.68,-0.0321
East,Assam,District_109,2018,820.63,21.24,154.57,106.45,2518923,496.57,496.66,-0.0002
North,Uttarakhand,District_133,2008,912.74,41.94,205.25,222.4,731193,91.79,62.01,0.3209
South,Tamil Nadu,District_98,2014,932.06,18.35,322.81,309.22,2508928,266.62,252.07,0.0544
South,Karnataka,District_34,2000,1207.61,24.86,82.28,72.6,3036837,437.65,418.98,0.0426
West,Gujarat,District_71,2002,1169.97,39.28,135.2,99.03,3329270,238.44,242.18,-0.0156
South,Karnataka,District_139,2009,677.19,15.56,112.47,89.05,1243952,194.95,199.17,-0.0215
East,Odisha,District_147,2012,691.49,38.95,97.59,81.9,282791,16.7,36.05,-1.0938
West,Maharashtra,District_71,2011,737.09,13.48,250.36,279.36,2494218,512.52,509.73,0.0054
West,Gujarat,District_65,2020,846.13,47.18,173.81,127.67,1263461,200.76,230.1,-0.1454
North,Himachal Pradesh,District_4,2003,1122.35,44.49,114.34,112.41,2372901,198.03,188.68,0.047
South,Andhra Pradesh,District_146,2021,846.11,4.37,170.08,186.16,2952289,307.85,283.39,0.0792
East,Odisha,District_68,2005,964.53,21.29,349.85,357.22,2626306,452.74,431.03,0.0478
East,Assam,District_119,2000,1067.44,3.05,324.1,336.86,681396,89.85,82.34,0.0827
East,Assam,District_3,2014,546.96,35.1,132.9,85.57,429437,33.92,32.09,0.0524
West,Maharashtra,District_92,2015,1196.15,42.43,133.91,84.14,3320534,374.66,334.88,0.1059
Central,Chhattisgarh,District_56,2013,1138.05,34.66,307.46,314.11,1766920,343.14,317.72,0.0739
West,Maharashtra,District_149,2002,765.88,9.42,236.24,215.94,3127666,542.75,526.66,0.0296
West,Gujarat,District_142,2010,837.85,47.6,220.09,223.94,369235,78.06,51.97,0.33
East,Bihar,District_113,2005,1251.58,2.93,176.29,185.7,1944548,113.64,98.57,0.1314
West,Gujarat,District_71,2008,623.36,28.19,157.1,180.91,1888918,309.11,316.37,-0.0234
North,Punjab,District_33,2007,1040.53,22.9,319.73,273.74,304279,20.47,31.54,-0.5153
South,Tamil Nadu,District_38,2019,1076,34.35,134,159.52,2721600,322.48,320.28,0.0068
West,Maharashtra,District_60,2003,859.56,34.55,282.59,274.55,589287,110.31,135.1,-0.2228
West,Maharashtra,District_48,2021,1095.97,11.85,255.09,274.15,1524053,331.42,336.01,-0.0138
North,Haryana,District_113,2018,472.56,48.62,102.21,128.96,3268433,515.75,474.03,0.0807
East,Odisha,District_11,2017,1074.08,25.99,298.03,295.02,3039735,622.2,624.84,-0.0042
South,Karnataka,District_16,2022,1095.22,49.17,226.99,179.12,2993418,391.51,419.11,-0.0703
West,Gujarat,District_66,2000,1295.15,44.49,243.48,271.92,2607925,429.84,455.29,-0.0591
South,Telangana,District_139,2022,1119.18,41.24,72.48,91.49,2993677,526.9,525.97,0.0018
West,Maharashtra,District_61,2011,937.18,8.24,225.78,193.41,3359489,328.86,316.77,0.0367
East,West Bengal,District_20,2016,709.87,14.51,176.34,179.73,1862214,81.22,59.21,0.2677
East,Assam,District_29,2016,882.54,47.02,321.62,272.58,2618179,230.01,209.96,0.0868
East,Bihar,District_61,2006,1510.97,46.37,326.35,298.78,966549,202.59,189.8,0.0628
East,Odisha,District_147,2011,829.54,7.54,198.13,189.72,803929,66.29,94.47,-0.4188
East,Jharkhand,District_19,2020,830.27,21.07,199.96,216.42,457466,67.86,49.24,0.2705
East,Jharkhand,District_73,2004,904.85,11.47,167.01,175.24,703071,40.88,57.89,-0.4061
North,Uttar Pradesh,District_84,2019,1336.59,18.75,155.6,125.66,2435478,136.29,106.51,0.2169
South,Telangana,District_86,2013,1656.78,30.6,253.68,212.47,162972,34.1,3.39,0.875
South,Telangana,District_121,2009,527.82,44.68,74.4,36.47,2629511,458.36,475.66,-0.0377
North,Himachal Pradesh,District_8,2005,588.61,23.29,179.41,205.56,1818105,171.02,144.48,0.1543
South,Telangana,District_12,2009,762.07,5.55,211.81,232.03,1538525,221.16,207.47,0.0617
Central,Madhya Pradesh,District_7,2003,792.34,4.4,277.46,287.09,2604875,210.58,205.71,0.023
North,Himachal Pradesh,District_55,2010,1157.32,2.42,214.09,167.87,1775963,131.64,111.15,0.1545
North,Haryana,District_131,2018,508.56,9.54,180.27,186.01,1910614,246.93,250.34,-0.0137
South,Telangana,District_56,2012,261.7,21.88,156.92,169.93,1236525,174.64,140.76,0.1929
North,Uttarakhand,District_9,2021,754.86,10.62,84.22,78.59,770288,80.11,52.23,0.3438
Central,Madhya Pradesh,District_98,2020,605.36,31.53,165.21,179.86,2534086,506.21,487.74,0.0364
East,Bihar,District_20,2007,926.25,36.46,319.91,288.05,2910949,345.37,311.86,0.0968
North,Uttarakhand,District_129,2018,1281.52,14.23,63.3,42.68,3095542,490.38,456.78,0.0684
Central,Chhattisgarh,District_108,2017,1040.48,41.6,143.51,141.09,795765,65.16,46.18,0.2869
East,West Bengal,District_136,2001,617.11,16.17,298.39,327.25,434485,36.61,10.94,0.6825
North,Himachal Pradesh,District_121,2021,1318.94,5.36,200.71,204.81,1432072,115.93,105.17,0.092
North,Haryana,District_134,2014,1015.45,49.96,317.21,342.51,3370559,434.78,446.39,-0.0266
East,Odisha,District_69,2006,851.66,4.94,213.67,204.45,2019795,428.83,432.87,-0.0094
North,Uttarakhand,District_76,2007,817.47,43.67,338.31,292.85,2429274,488.46,496.78,-0.017
East,Odisha,District_63,2011,1011.28,25.43,88.64,64.43,1561215,171.11,152.54,0.1079
South,Karnataka,District_117,2010,621.5,49.6,128.59,85.17,1216136,252.44,220.02,0.1279
East,West Bengal,District_62,2014,1420.68,13.24,330.78,338.85,1943370,212.24,234.31,-0.1035
East,Jharkhand,District_93,2002,668.33,45.39,178.38,129.95,616230,117.42,128.19,-0.091
South,Telangana,District_144,2016,453.37,23.29,297.41,307.56,267230,18.82,37.21,-0.9282
East,Bihar,District_93,2020,1151.65,39.07,137.29,137.23,2273632,159.35,120.62,0.2415
North,Punjab,District_59,2014,1241.11,21.92,191.75,155.35,2630479,110.46,134.68,-0.2173
East,Jharkhand,District_59,2018,795.56,19.44,349.82,356.48,221376,48.66,49.87,-0.0245
Central,Madhya Pradesh,District_138,2007,1086.75,40.49,80.19,60.67,2502673,414.22,420.12,-0.0142
East,Jharkhand,District_150,2021,517.7,40.53,341.81,368.31,3048824,261.4,259.89,0.0057
Central,Madhya Pradesh,District_67,2009,1089.19,39.36,195.24,151.95,2981017,285.17,244.03,0.1437
East,Odisha,District_81,2003,1217.83,48.13,180.37,158.21,1369671,213.14,219.8,-0.0311
East,Bihar,District_105,2013,962.77,24.03,221.38,214.95,3060427,244.42,270.59,-0.1066
North,Haryana,District_38,2018,773.49,38.48,151.78,151.73,2784902,365.64,380.18,-0.0396
North,Punjab,District_51,2005,1241.62,8.83,214.54,195.8,3041505,664.58,664.22,0.0005
East,Assam,District_4,2005,1202.77,7.12,298.24,311.26,1711302,71.58,99.18,-0.3804
East,West Bengal,District_108,2008,916.17,18.13,319,304.26,576357,102.93,71.61,0.3013
Central,Chhattisgarh,District_121,2023,711.58,42.38,181.93,142.52,2361120,279.66,246.77,0.1172
East,West Bengal,District_33,2001,335.37,10.63,203.65,213.46,2170024,151.21,114.42,0.2417
East,Jharkhand,District_7,2022,1191.16,49.57,163.52,170.15,105061,21.11,-12.97,1.5413
South,Tamil Nadu,District_19,2004,1075.9,47.43,314.47,275.55,3471665,661.2,646.96,0.0215
North,Haryana,District_136,2012,960.42,32.36,327.34,282.95,819360,153.55,138.65,0.0964
East,Jharkhand,District_91,2004,886.03,12.98,158.25,138.87,254013,36.53,44.82,-0.221
South,Kerala,District_143,2007,848.89,11.97,281.71,236.88,321243,35.05,56.18,-0.5862
South,Andhra Pradesh,District_31,2010,1065.34,28.04,259.12,223.81,2214024,131.32,115.17,0.1221
East,Odisha,District_28,2023,924.67,41.47,228.79,181.75,2774897,353.52,359.59,-0.0171
West,Maharashtra,District_19,2023,874.73,44.97,342.57,306.99,2128600,426.45,440.07,-0.0318
South,Telangana,District_115,2013,1471.02,39.45,73.91,81.11,2678012,326.44,287.32,0.1195
East,Assam,District_112,2009,1121.27,5.77,300.85,270.12,1096095,58.77,43.87,0.2493
North,Punjab,District_35,2023,895.96,32.8,296.76,303.67,930428,110.82,118.62,-0.0698
South,Tamil Nadu,District_131,2002,978.15,46.96,273.2,257.03,3025817,322.26,347.98,-0.0796
Central,Madhya Pradesh,District_2,2018,295.32,39.47,264.58,252.38,957192,55.53,56.7,-0.0206
North,Uttarakhand,District_95,2021,925.11,17.36,153.85,173.29,2452341,405.25,380.18,0.0617
East,Assam,District_98,2010,1131.47,2.55,138.45,161.08,810656,142.86,167.48,-0.1712
East,Assam,District_46,2016,976.17,24.68,222.52,195.45,3276351,140.81,161.62,-0.1468
North,Uttarakhand,District_72,2003,980.98,9.8,279.15,273.94,2509318,159.85,172.28,-0.0773
